"m_id","me_id","employer_name","pln_acronym","tier_no","hire_dt","term_dt","total_service","hire_yr","employer_name_duplicate","level","combined_id","birth_yr","age_based_on_2024","age_at_hire","no_me_id"
91308,145387,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-05-09","2021-06-25",33.131,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","91308-145387",1953,71,35,1
28805,242500,"MARICOPA COUNTY","CORP",1,"1988-07-11","",36.038,1988,"MARICOPA COUNTY - CORP","County","28805-242500",1958,66,30,1
97147,151395,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-07-25","2023-08-31",35.102,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","97147-151395",1959,65,29,1
117540,263503,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-08-01","2017-09-01",29.087,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","117540-263503",1964,60,24,1
18502,131355,"MARICOPA COUNTY","CORP",1,"1988-08-08","2016-09-01",28.068,1988,"MARICOPA COUNTY - CORP","County","18502-131355",1965,59,23,1
17771,129044,"MARICOPA COUNTY","CORP",1,"1988-08-08","2021-06-27",34.887,1988,"MARICOPA COUNTY - CORP","County","17771-129044",1962,62,26,1
103763,197850,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-08-15","2023-08-18",35.009,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","103763-197850",1958,66,30,1
69726,254828,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-09-12","2018-03-31",29.55,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","69726-254828",1965,59,23,1
2795,244241,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-10-03","2018-03-13",29.443,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","2795-244241",1952,72,36,1
120908,153434,"MARICOPA COUNTY","CORP",1,"1988-10-03","",35.808,1988,"MARICOPA COUNTY - CORP","County","120908-153434",1960,64,28,1
103630,199635,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-10-17","",35.77,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","103630-199635",1953,71,35,1
63942,154012,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-10-17","2017-12-29",29.202,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","63942-154012",1959,65,29,2
54495,143207,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-12-05","2019-01-25",30.141,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","54495-143207",1961,63,27,1
27163,151752,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-01-29","1992-04-19",11.032,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","27163-151752",1957,67,32,1
94486,167525,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-03-27","2020-03-27",31.003,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","94486-167525",1952,72,37,1
42308,227104,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-04-17","2019-01-31",29.793,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","42308-227104",1963,61,26,1
79357,162409,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-05-01","2017-09-08",28.359,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","79357-162409",1967,57,22,1
118868,229713,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-05-22","2019-05-31",30.026,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","118868-229713",1953,71,36,1
97631,150518,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-06-19","2021-08-01",32.12,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","97631-150518",1958,66,31,1
26974,135893,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-08-07","2022-01-07",32.422,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","26974-135893",1964,60,25,1
50831,255886,"MARICOPA COUNTY","CORP",1,"1989-08-21","",34.927,1989,"MARICOPA COUNTY - CORP","County","50831-255886",1953,71,36,1
68428,189480,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1989-08-28","2021-01-21",31.403,1989,"DEPT OF JUVENILE CORRECTIONS-CORP","State","68428-189480",1959,65,30,1
124331,250275,"YAVAPAI COUNTY","CORP",1,"1989-09-05","2018-01-31",28.408,1989,"YAVAPAI COUNTY - CORP","County","124331-250275",1961,63,28,1
53029,259871,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-09-11","2019-12-30",30.303,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","53029-259871",1955,69,34,1
86940,184550,"MARICOPA COUNTY","CORP",1,"1989-10-15","2020-10-18",31.012,1989,"MARICOPA COUNTY - CORP","County","86940-184550",1962,62,27,2
63201,229172,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-10-23","2023-01-31",33.276,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","63201-229172",1969,55,20,1
95936,173847,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-02-05","",34.467,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","95936-173847",1963,61,27,1
31237,239697,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-02-05","2000-12-22",10.88,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","31237-239697",1956,68,34,1
113859,153715,"MARICOPA COUNTY","CORP",1,"1990-02-20","2018-03-22",28.085,1990,"MARICOPA COUNTY - CORP","County","113859-153715",1968,56,22,1
61951,129491,"MARICOPA COUNTY","CORP",1,"1990-03-05","2018-10-31",28.66,1990,"MARICOPA COUNTY - CORP","County","61951-129491",1964,60,26,1
12524,165697,"PIMA COUNTY","CORP",1,"1990-03-05","2022-01-29",31.907,1990,"PIMA COUNTY - CORP","County","12524-165697",1967,57,23,1
41376,195667,"MARICOPA COUNTY","CORP",1,"1990-04-16","",34.275,1990,"MARICOPA COUNTY - CORP","County","41376-195667",1968,56,22,1
77641,211099,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-05-14","2020-07-31",30.218,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","77641-211099",1963,61,27,1
54698,206784,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1990-06-18","2022-12-30",32.537,1990,"DEPT OF JUVENILE CORRECTIONS-CORP","State","54698-206784",1954,70,36,1
80074,257608,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-07-02","2017-08-31",27.168,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","80074-257608",1954,70,36,1
22809,163907,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-07-09","",34.045,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","22809-163907",1966,58,24,1
86192,163225,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-07-16","2000-08-01",10.048,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","86192-163225",1957,67,33,1
30099,127992,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-07-23","",34.007,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","30099-127992",1964,60,26,1
6945,187112,"YUMA COUNTY","CORP",1,"1990-08-06","2020-02-29",29.569,1990,"YUMA COUNTY - CORP","County","6945-187112",1961,63,29,1
35996,241290,"MARICOPA COUNTY","CORP",1,"1990-08-19","2019-04-21",28.674,1990,"MARICOPA COUNTY - CORP","County","35996-241290",1963,61,27,1
86207,149610,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-09-10","2022-05-27",31.713,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","86207-149610",1957,67,33,1
48276,205576,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-09-24","2022-10-29",32.099,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","48276-205576",1964,60,26,1
68511,170789,"MARICOPA COUNTY","CORP",1,"1990-10-15","2019-10-15",29.002,1990,"MARICOPA COUNTY - CORP","County","68511-170789",1965,59,25,1
624,222338,"MARICOPA COUNTY","CORP",1,"1990-10-15","2015-11-01",25.049,1990,"MARICOPA COUNTY - CORP","County","624-222338",1962,62,28,1
114064,214012,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-11-12","",33.7,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","114064-214012",1967,57,23,1
87208,235422,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-11-12","2019-03-01",28.301,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","87208-235422",1954,70,36,1
60190,252348,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-11-26","2019-07-30",28.676,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","60190-252348",1957,67,33,1
72410,134543,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-11-26","2018-01-12",28.132,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","72410-134543",1960,64,30,1
75988,211565,"DEPARTMENT OF CORRECTIONS","CORP",1,"1990-11-26","2021-06-30",30.595,1990,"DEPARTMENT OF CORRECTIONS - CORP","State","75988-211565",1967,57,23,1
30411,232681,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-01-02","2015-02-01",24.085,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","30411-232681",1960,64,31,1
92047,174426,"MARICOPA COUNTY","CORP",1,"1991-01-07","2019-06-30",28.479,1991,"MARICOPA COUNTY - CORP","County","92047-174426",1966,58,25,2
17094,220881,"MARICOPA COUNTY","CORP",1,"1991-01-07","2019-03-08",28.167,1991,"MARICOPA COUNTY - CORP","County","17094-220881",1961,63,30,1
67967,137062,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1991-01-14","2023-02-28",32.126,1991,"DEPT OF JUVENILE CORRECTIONS-CORP","State","67967-137062",1968,56,23,1
11867,184048,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-01-14","2020-04-19",29.265,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","11867-184048",1959,65,32,1
31164,264050,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-01-28","2021-09-17",30.639,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","31164-264050",1962,62,29,1
36617,222941,"MARICOPA COUNTY","CORP",1,"1991-02-12","2020-09-19",29.604,1991,"MARICOPA COUNTY - CORP","County","36617-222941",1955,69,36,1
113478,160560,"MARICOPA COUNTY","CORP",1,"1991-02-12","2021-03-06",30.064,1991,"MARICOPA COUNTY - CORP","County","113478-160560",1969,55,22,1
25067,246085,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-03-04","2019-12-27",28.819,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","25067-246085",1957,67,34,1
86863,203028,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-03-04","2021-01-27",29.906,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","86863-203028",1956,68,35,1
105573,132408,"MARICOPA COUNTY","CORP",1,"1991-03-18","2019-11-22",28.684,1991,"MARICOPA COUNTY - CORP","County","105573-132408",1960,64,31,1
50681,238060,"MOHAVE COUNTY","CORP",1,"1991-03-25","2022-05-27",31.176,1991,"MOHAVE COUNTY - CORP","County","50681-238060",1952,72,39,1
71788,259582,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-04-08","2023-06-30",32.23,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","71788-259582",1960,64,31,1
43643,245570,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-04-08","",33.298,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","43643-245570",1953,71,38,1
57974,211762,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-05-06","2021-07-24",30.22,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","57974-211762",1964,60,27,1
18839,174452,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-05-06","2022-02-25",30.812,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","18839-174452",1964,60,27,1
102046,230982,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1991-05-13","2021-08-26",30.292,1991,"DEPT OF JUVENILE CORRECTIONS-CORP","State","102046-230982",1954,70,37,1
40527,262681,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-05-27","",33.164,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","40527-262681",1964,60,27,1
95811,224284,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-06-24","2023-07-31",32.104,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","95811-224284",1957,67,34,1
5130,215843,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1991-07-14","2022-08-05",33.784,1991,"DEPT OF JUVENILE CORRECTIONS-CORP","State","5130-215843",1966,58,25,1
86329,241114,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-07-29","",32.991,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","86329-241114",1956,68,35,1
31422,214601,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-07-29","",32.991,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","31422-214601",1960,64,31,1
59507,256500,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-07-29","2017-09-29",26.174,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","59507-256500",1964,60,27,1
60792,165495,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-10-19","2021-11-19",30.089,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","60792-165495",1958,66,33,1
115724,162750,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-11-12","2010-01-18",18.188,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","115724-162750",1959,65,32,1
108770,232555,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-11-18","",32.684,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","108770-232555",1968,56,23,1
50809,231245,"DEPARTMENT OF CORRECTIONS","CORP",1,"1991-12-09","2019-02-28",27.225,1991,"DEPARTMENT OF CORRECTIONS - CORP","State","50809-231245",1964,60,27,1
26294,149006,"MARICOPA COUNTY","CORP",1,"1991-12-09","2018-12-29",27.058,1991,"MARICOPA COUNTY - CORP","County","26294-149006",1964,60,27,1
66838,240138,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-01-27","2019-06-28",27.42,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","66838-240138",1950,74,42,1
22544,184207,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-02-24","2020-06-26",28.339,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","22544-184207",1964,60,28,1
80109,240439,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-03-02","",32.397,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","80109-240439",1970,54,22,1
43848,153920,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-03-16","2022-10-31",30.628,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","43848-153920",1965,59,27,1
8434,218637,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-04-13","2021-04-23",29.029,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","8434-218637",1969,55,23,1
7791,176072,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-04-27","",32.244,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","7791-176072",1969,55,23,1
21281,223290,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-05-11","2024-05-31",32.057,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","21281-223290",1965,59,27,1
59151,185867,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-06-01","",32.148,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","59151-185867",1969,55,23,1
77125,172303,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1992-06-15","2019-05-06",26.891,1992,"DEPT OF JUVENILE CORRECTIONS-CORP","State","77125-172303",1966,58,26,1
47647,166097,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-07-06","2017-07-14",25.024,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","47647-166097",1963,61,29,1
113263,162436,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-07-06","2017-07-28",25.062,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","113263-162436",1973,51,19,1
87708,213966,"MARICOPA COUNTY","CORP",1,"1992-07-20","2017-08-01",25.035,1992,"MARICOPA COUNTY - CORP","County","87708-213966",1962,62,30,1
26418,223186,"MARICOPA COUNTY","CORP",1,"1992-08-17","2021-08-20",29.927,1992,"MARICOPA COUNTY - CORP","County","26418-223186",1961,63,31,1
108073,191237,"MARICOPA COUNTY","CORP",1,"1992-09-14","2017-12-24",25.279,1992,"MARICOPA COUNTY - CORP","County","108073-191237",1962,62,30,1
43035,185580,"PIMA COUNTY","CORP",1,"1992-09-20","2020-12-31",28.582,1992,"PIMA COUNTY - CORP","County","43035-185580",1965,59,27,1
55883,216379,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-09-21","2017-01-01",24.282,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","55883-216379",1962,62,30,1
121052,187042,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-09-21","2021-07-30",28.857,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","121052-187042",1956,68,36,1
96057,187750,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-09-28","",31.822,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","96057-187750",1962,62,30,1
12509,217659,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-10-12","2016-11-01",24.057,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","12509-217659",1960,64,32,1
35944,136276,"MARICOPA COUNTY","CORP",1,"1992-10-19","2022-11-30",30.116,1992,"MARICOPA COUNTY - CORP","County","35944-136276",1967,57,25,1
87610,201851,"MARICOPA COUNTY","CORP",1,"1992-10-19","2017-11-18",25.084,1992,"MARICOPA COUNTY - CORP","County","87610-201851",1970,54,22,1
49391,192175,"MARICOPA COUNTY","CORP",1,"1992-11-16","2018-12-29",26.119,1992,"MARICOPA COUNTY - CORP","County","49391-192175",1969,55,23,1
67623,172037,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-11-16","2020-02-28",27.285,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","67623-172037",1968,56,24,1
78809,251788,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1992-12-07","2020-03-31",27.316,1992,"DEPT OF JUVENILE CORRECTIONS-CORP","State","78809-251788",1958,66,34,1
112169,130650,"DEPARTMENT OF CORRECTIONS","CORP",1,"1992-12-14","2018-04-27",25.369,1992,"DEPARTMENT OF CORRECTIONS - CORP","State","112169-130650",1966,58,26,1
53499,237574,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-01-04","2017-07-14",24.526,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","53499-237574",1955,69,38,1
38831,215331,"MARICOPA COUNTY","CORP",1,"1993-01-04","2018-05-01",25.322,1993,"MARICOPA COUNTY - CORP","County","38831-215331",1963,61,30,1
435,176539,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-01-04","",31.554,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","435-176539",1968,56,25,1
72087,258797,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-01-04","",31.554,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","72087-258797",1970,54,23,1
53734,195799,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-01-18","2018-01-31",25.038,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","53734-195799",1967,57,26,1
7100,261489,"MARICOPA COUNTY","CORP",1,"1993-01-25","2018-02-03",25.027,1993,"MARICOPA COUNTY - CORP","County","7100-261489",1968,56,25,1
62083,184797,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-02-01","2018-02-23",25.062,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","62083-184797",1964,60,29,1
73500,220030,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-02-22","",31.42,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","73500-220030",1959,65,34,1
18868,171508,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-03-06","",31.387,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","18868-171508",1956,68,37,1
109497,226357,"MARICOPA COUNTY","CORP",1,"1993-04-12","2022-02-01",28.81,1993,"MARICOPA COUNTY - CORP","County","109497-226357",1970,54,23,1
30710,243219,"MARICOPA COUNTY","CORP",1,"1993-05-03","2018-05-21",25.051,1993,"MARICOPA COUNTY - CORP","County","30710-243219",1968,56,25,1
116933,252962,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-05-10","",31.209,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","116933-252962",1965,59,28,1
49126,211052,"MARICOPA COUNTY","CORP",1,"1993-05-17","",31.19,1993,"MARICOPA COUNTY - CORP","County","49126-211052",1971,53,22,1
48248,191752,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-05-31","2023-06-30",30.084,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","48248-191752",1961,63,32,1
2831,126620,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-05-31","2019-05-31",26.001,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","2831-126620",1967,57,26,1
111556,200632,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-05-31","2018-03-31",24.835,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","111556-200632",1969,55,24,1
29061,234269,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-05-31","2018-05-31",25.002,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","29061-234269",1962,62,31,1
95337,178680,"MARICOPA COUNTY","CORP",1,"1993-06-01","2019-08-01",26.168,1993,"MARICOPA COUNTY - CORP","County","95337-178680",1963,61,30,1
8431,194364,"PINAL COUNTY","CORP",1,"1993-06-27","2018-11-18",25.396,1993,"PINAL COUNTY - CORP","County","8431-194364",1956,68,37,1
9191,187206,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-06-28","2018-09-21",25.235,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","9191-187206",1961,63,32,1
72716,246446,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-06-28","",31.075,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","72716-246446",1971,53,22,1
73560,261752,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-07-19","",31.017,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","73560-261752",1966,58,27,1
105841,266619,"DEPARTMENT OF CORRECTIONS","CORP",1,"1993-07-19","2019-09-06",26.136,1993,"DEPARTMENT OF CORRECTIONS - CORP","State","105841-266619",1968,56,25,1
83115,171261,"MARICOPA COUNTY","CORP",1,"1993-08-23","2019-02-02",25.448,1993,"MARICOPA COUNTY - CORP","County","83115-171261",1955,69,38,1
